n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
1048,280,32,0.7378604664517768,0.4816870275981945,0.7373654824274235,0.48214158501252463,0.7369735400388926,0.48250121267266255,0.6954541554561171,0.519188456929163,59
1000,270,33,0.7272097044866966,0.5545228411172706,0.7369930415157118,0.5444883614175134,0.7286021447642795,0.553105767620045,0.7435048418727712,0.5377056095405198,60
985,270,35,0.45183377924781964,0.6649261484009672,0.541431338062684,0.6081622559189565,0.4541134819519079,0.6635420671025271,0.692749060829376,0.49781030971470913,61
1164,310,40,0.6980342862913758,0.5071714192696248,0.695658799961696,0.5091624046232924,0.6987170562678827,0.5065977160861495,0.7951211535852032,0.41775774917764247,62
1018,270,33,0.6822394203623631,0.47288856677937585,0.6701541722502586,0.4817972336010641,0.6832203294664537,0.4721581123716917,0.7573047306113596,0.4132753097781099,63
1132,305,36,0.6536289866463465,0.5078803832259167,0.6523415415564742,0.508823391745153,0.6545107549124509,0.5072335072364003,0.7542852928925688,0.4277659819387185,64
1018,275,35,0.7333407819084401,0.5164102129055186,0.7332957080896373,0.516453855868614,0.7286390135913985,0.5209430238175943,0.805129283305279,0.44145842869131996,65
858,235,30,0.6803561651614074,0.5010754527243464,0.697212220863914,0.4876847020569503,0.693313956638256,0.490814028920822,0.7460364574402326,0.4466379788808674,66
1006,270,34,0.67030760992705,0.4939122775922843,0.6851087141301011,0.482698202585089,0.6769079847684728,0.48894327037361257,0.591928903468597,0.5494944090549345,67
986,270,36,0.7335021188435162,0.432477528476701,0.7433773873753676,0.424389008476684,0.7346651219963676,0.431532825513427,0.7994816560006293,0.3751402995699468,68
908,250,33,0.6336682717262201,0.5430248215350459,0.6472742788823047,0.5328451033320807,0.6335986296900056,0.5430764353514421,0.6158894552499177,0.5560457542283942,69
961,260,33,0.6824456036582611,0.5506923596484655,0.6668518529188981,0.5640514075660382,0.6850524328115195,0.5484273631196187,0.8323554938637934,0.40012404366223175,70
1032,275,35,0.7078611415673166,0.5283168078216041,0.7213868457535767,0.5159416308406972,0.7077809648486179,0.5283893004068123,0.7760822177182015,0.46253441880618823,71
1017,280,39,0.7218576434670216,0.5606490500561732,0.7253747573548982,0.5570930654863245,0.7224988648034438,0.5600024251190364,0.8167030954841505,0.4551296101630959,72
925,250,31,0.6799304816991383,0.5462232188680171,0.6877379226881312,0.539520090339871,0.6809411911967997,0.5453601102549188,0.8173184502541778,0.4126628209525113,73
1189,320,36,0.635689979216173,0.6572863028232302,0.6490417083583512,0.6451293154670296,0.6389542591275069,0.6543349781747924,0.7778573156131641,0.5132571774663934,74
